date,site_name,site_status
5/16/2018,N0282,"on-air,A84,A35,A31,A42"
5/16/2018,N0283,A45
5/16/2018,N0284,"A2,A30"
5/16/2018,N0285,A17
5/16/2018,N0286,"A2,A11,off-air,A41,A48"
5/16/2018,N0287,A46
5/16/2018,N0288,"A29,A11,on-air,A71,A21,A45,A54,A32"
5/16/2018,N0289,"A50,A38,A11,on-air,A6,A57,A106,A24,A1"
5/16/2018,N0290,"A46,A55,A11,A62,A6,A71,A28"
5/16/2018,N0291,"A26,A56,A38,on-air,A57,A59"
5/16/2018,N0292,"A2,A33,A6,A21"
5/16/2018,N0293,"A15,A7"
5/16/2018,N0294,A43
5/16/2018,N0295,A32
5/16/2018,N0296,"A26,A2,A11,A6"
5/16/2018,N0297,"A46,off-air"
5/16/2018,N0298,"A27,A26,A38,A23,A62,A6,A99,off-air,A70,A45,A52,A54"
5/16/2018,N0299,A45
5/16/2018,N0300,A16
5/16/2018,N0301,"A86,A28,A72,A22,A32"
5/16/2018,N0302,"A5,A33,A9 ,A20,A43"
5/16/2018,N0303,"A21,A87"
5/16/2018,N0304,"A26,A20,A35,A91"
5/16/2018,N0305,"A46,A29,A5,A38,on-air,A6,A43,A59"
5/16/2018,N0306,A117
5/16/2018,N0307,"A29,on-air,A51,A13,A48"
5/16/2018,N0308,"A55,A2,A47,A35,A30,A66"
5/16/2018,N0309,A73
5/16/2018,N0310,"A110,A65,A16"
5/16/2018,N0311,"A11,A6,A47,A7"
5/16/2018,N0312,"A21,A103"
5/16/2018,N0313,"A5,A28,A41"
5/16/2018,N0314,A89
5/16/2018,N0315,"A46,A2,A6,A7,A28,A45,A25"
5/16/2018,N0316,"A60,A38"
5/16/2018,N0317,"A63,A47,A89"
5/16/2018,N0318,"off-air,A75,A45"
5/16/2018,N0319,"A5,on-air"
5/16/2018,N0320,A29
5/16/2018,N0321,"A27,A11,A6,A47,A21"
5/16/2018,N0322,"A56,A38,A11,A23,A14,A9 ,A1,A49,A22,A37"
5/16/2018,N0323,"A1,A52"
5/16/2018,N0324,"A5,A6,off-air,A28,A48"
5/16/2018,N0325,"A67,A11,A57,A65,off-air,A28,A49,A22,A43"
5/16/2018,N0326,"A50,A20,A41"
5/16/2018,N0327,"A6,off-air,A28,A54"
5/16/2018,N0328,"A28,A22"
5/16/2018,N0329,A6
5/16/2018,N0330,A28
5/16/2018,N0331,A21
5/16/2018,N0332,"A46,A110,A50,"
5/16/2018,N0333,"A2,A8,A49,A65,A28,A31,A42"
5/16/2018,N0334,A48
5/16/2018,N0335,A32
5/16/2018,N0336,"A27,A11,on-air,A23,A78,A61,A34,A108"
5/16/2018,N0337,"A46,A2,on-air,A45"
5/16/2018,N0338,"A27,off-air"
5/16/2018,N0339,"A83,A41"
5/16/2018,N0340,A71
5/16/2018,N0341,"A23,A49,A9 ,off-air,A35,A28,A103,A72"
5/16/2018,N0342,"A11,A14,A22"
5/16/2018,N0343,A2
5/16/2018,N0344,"A27,on-air,A14"
5/16/2018,N0345,"A38,on-air,A14,A36,A41"
5/16/2018,N0346,"A5,on-air,A84,A16"
5/16/2018,N0347,"A26,A50,A8"
5/16/2018,N0348,"A56,A57,A19,A42,A48"
5/16/2018,N0349,A45
5/16/2018,N0350,"A57,A45,A77"
5/16/2018,N0351,"A38,A63,A1,A22,A43"
5/16/2018,N0352,"on-air,A28"
5/16/2018,N0353,A26
5/16/2018,N0354,A74
5/16/2018,N0355,"off-air,A16"
5/16/2018,N0356,"on-air,A52"
5/16/2018,N0357,on-air
5/16/2018,N0358,"A2,on-air,A23,A99"
5/16/2018,N0359,"A35,A31"
5/16/2018,N0360,"A27,A46,A55,A8,A14,A36,A20,A47"
5/16/2018,N0361,"A5,A38,on-air,A57,A63"
5/16/2018,N0362,"A27,A46,A38,A6,A57,A35,A54"
5/16/2018,N0363,"A56,A38,A11,A33,on-air,A23,A23,A66,A34,A37"
5/16/2018,N0364,"off-air,A47,A35,A7,A16"
5/16/2018,N0365,"A38,A33,A23,A62,A74,A79,A7"
5/16/2018,N0366,A6
5/16/2018,N0367,"A11,A21"
5/16/2018,N0368,"A56,A20"
5/16/2018,N0369,"A56,A7"
5/16/2018,N0370,"A11,A14,A84,A21"
5/16/2018,N0371,"off-air,A32"
5/16/2018,N0372,"A67,A2,on-air,A57,off-air,A35,A42,A52"
5/16/2018,N0373,"on-air,A39,A41,A54"
5/16/2018,N0374,"A5,A14,off-air,A21"
5/16/2018,N0375,A21
5/16/2018,N0376,"A14,A6"
5/16/2018,N0377,A32
5/16/2018,N0378,A7
5/16/2018,N0379,A16
5/16/2018,N0380,"A86,A14,A57,A65,A74,A91,A79,A117,A43,A54,A93"
5/16/2018,N0381,"A50,A65,A84,A91,A41,A48"
5/16/2018,N0382,"A46,A11,A9 ,A35,A117,A48"
5/16/2018,N0383,"A65,A35,A54"
5/16/2018,N0384,"A46,A5,A12,off-air"
5/16/2018,N0385,A50
5/16/2018,N0386,"A86,on-air,A49,A39"
5/16/2018,N0387,A7
5/16/2018,N0388,A48
5/16/2018,N0389,"A6,off-air,A35,A21,A28,A48"
5/16/2018,N0390,A28
5/16/2018,N0391,A90
5/16/2018,N0392,"A46,on-air,A7"
5/16/2018,N0393,"A6,A22"
5/16/2018,N0394,"A63,off-air,A108,A52"
5/16/2018,N0395,on-air
5/16/2018,N0396,"A110,A11,on-air,A57"
5/16/2018,N0397,"A108,A44,A52,A54"
5/16/2018,N0398,"A11,A77"
5/16/2018,N0399,"on-air,A14,A6,A90,off-air,A40,A7,A31,A13,A48"
5/16/2018,N0400,"A11,on-air,off-air,A98"
5/16/2018,N0401,"A5,A11"
5/16/2018,N0402,"A69,A21,A41,A72"
5/16/2018,N0403,A34
5/16/2018,N0404,A73
5/16/2018,N0405,"A27,A6"
5/16/2018,N0406,A45
5/16/2018,N0407,A21
5/16/2018,N0408,"A11,on-air,off-air,A1,A21,A16"
5/16/2018,N0409,"A2,A5,A86,A11,A48"
5/16/2018,N0410,"A46,A67,A50,on-air,A28,A92,A32"
5/16/2018,N0411,"A63,off-air,A34,A54"
5/16/2018,N0412,"A55,A2,A5,A38,A11,A23,A52"
5/16/2018,N0413,"A106,A74,A7,A28,A31,A41"
5/16/2018,N0414,"A55,A2,A8,A6,A31,A82"
5/16/2018,N0415,"A26,A56,A57,A63,off-air"
5/16/2018,N0416,A11
5/16/2018,N0417,"A29,A6,A90,off-air,A72,A25"
5/16/2018,N0418,"A28,A72"
5/16/2018,N0419,on-air
5/16/2018,N0420,off-air
5/16/2018,N0421,A16
5/16/2018,N0422,"A38,A35,A21,A95"
5/16/2018,N0423,A35
5/16/2018,N0424,"A56,A103,A48"
5/16/2018,N0425,"A2,A5,A38,A6,A85,A21,A28,A92"
5/16/2018,N0426,"on-air,A71,A97,A31"
5/16/2018,N0427,"A28,A49"
5/16/2018,N0428,"A21,A28"
5/16/2018,N0429,"A5,A11,off-air"
5/16/2018,N0430,A41
5/16/2018,N0431,"A21,A45"
5/16/2018,N0432,A22
5/16/2018,N0433,"A2,A15,A9 ,A74"
5/16/2018,N0434,"A21,A45,A95"
5/16/2018,N0435,"A86,A11,A35,A21,A28,A54"
5/16/2018,N0436,"A62,A71,A66,A28"
5/16/2018,N0437,"A26,A11,on-air,A78,off-air,A71,A1,A7,A101,A52,A32"
5/16/2018,N0438,"off-air,A61,A21,A49,A16,A45,A88"
5/16/2018,N0439,"A26,A5,A38,A86,A11,A7,A28"
5/16/2018,N0440,A28
5/16/2018,N0441,"A7,A52"
5/16/2018,N0442,"off-air,A47,A21"
5/16/2018,N0443,"A55,A26,A50,A11,on-air,A74,off-air,A1,A48"
5/16/2018,N0444,"A28,A45,A17,A52,A54,A32"
5/16/2018,N0445,"A46,A67,A11,A73,A20"
5/16/2018,N0446,"A26,A38,A11,off-air,A30"
5/16/2018,N0447,"on-air,A14,A21,A16"
5/16/2018,N0448,"A55,A73,A52"
5/16/2018,N0449,"A56,A33,on-air,A73,A31,A41,A34"
5/16/2018,N0450,"A46,A11,A23,A6,A57,A74,off-air"
5/16/2018,N0451,"A21,A49,A93"
5/16/2018,N0452,"A5,A11,A33,on-air,A65,A39,A114,A21"
5/16/2018,N0453,"A94,A21"
5/16/2018,N0454,"A6,off-air"
5/16/2018,N0455,A98
5/16/2018,N0456,A22
5/16/2018,N0457,A7
5/16/2018,N0458,A16
5/16/2018,N0459,"A26,A38"
5/16/2018,N0460,"on-air,A100,A42"
5/16/2018,N0461,"A27,off-air,A35,A104,A34"
5/16/2018,N0462,"A27,A46,A38,A23,A74,off-air,A3,A52,A89"
5/16/2018,N0463,"A11,on-air,A9 "
5/16/2018,N0464,"A27,A38,A70,A28,A76"
5/16/2018,N0465,"on-air,off-air,A32"
5/16/2018,N0466,"A27,A1,A101"
5/16/2018,N0467,"A11,A41"
5/16/2018,N0468,"A21,A48"
5/16/2018,N0469,"A55,A86,on-air,A14,off-air,A35,A113,A52"
5/16/2018,N0470,A21
5/16/2018,N0471,"A11,A57,A106,A63"
5/16/2018,N0472,"A50,on-air,A23,A91,A45"
5/16/2018,N0473,"A50,A2,A11"
5/16/2018,N0474,A48
5/16/2018,N0475,"on-air,A9 ,A28,A31"
5/16/2018,N0476,A73
5/16/2018,N0477,"A35,A21"
5/16/2018,N0478,"A67,A8,on-air,A23,A62,A14,A57,A90,A9 ,A20,A7,A13,A22"
5/16/2018,N0479,"A27,A28"
5/16/2018,N0480,"A46,A68,A26,A38,A63,off-air,A24,A114,A49,A54"
5/16/2018,N0481,A16
5/16/2018,N0482,"A21,A16,A54"
5/16/2018,N0483,"A110,A11,A65,A84,A21,A28"
5/16/2018,N0484,"A62,A43"
5/16/2018,N0485,"A11,A33,A15,A21"
5/16/2018,N0486,"A49,off-air,A28"
5/16/2018,N0487,"A67,A75"
5/16/2018,N0488,A34
